policy_id,driver_age,vehicle_age,vehicle_type,vehicle_make,past_claims,accident_type,region,claim_severity
522,48,6,SUV,Regular,0,Minor,Urban,3675.709436505747
738,54,1,Sedan,High-end,1,Minor,Suburban,3665.5565351064533
741,18,4,Sports,High-end,2,Minor,Suburban,9846.056167936016
661,31,8,Sedan,High-end,0,Minor,Suburban,3409.7336152044318
412,23,6,Sports,Regular,0,Severe,Urban,25815.673540613385
679,54,7,Sports,High-end,0,Moderate,Urban,16998.82064218732
627,25,3,Sedan,Regular,0,Moderate,Suburban,6022.114756201006
514,26,0,Truck,Regular,1,Minor,Rural,2398.7329495016934
860,49,5,SUV,Regular,0,Minor,Urban,3892.7385859139154
137,28,8,Sedan,Regular,0,Severe,Urban,17376.451345122423
812,33,5,SUV,Regular,0,Minor,Suburban,2827.8110945683725
77,41,0,Truck,Regular,0,Moderate,Rural,5141.2795728953715
637,52,2,Sports,Regular,0,Minor,Urban,4816.996836069937
974,30,5,Truck,High-end,1,Minor,Urban,7685.759565586665
939,43,8,SUV,High-end,1,Minor,Suburban,5580.074362138728
900,27,4,Truck,Regular,1,Minor,Suburban,4399.082970349832
281,41,5,Sedan,High-end,0,Minor,Urban,4731.40498628088
884,55,3,Truck,High-end,0,Moderate,Urban,11973.854275378284
762,41,7,SUV,High-end,1,Moderate,Suburban,12285.467147833962
320,38,4,Sports,High-end,0,Minor,Urban,8401.873380721012
550,30,8,Sedan,Regular,1,Minor,Suburban,3517.4206201501256
175,44,2,Sedan,High-end,0,Minor,Suburban,4659.207862374675
372,47,10,Truck,High-end,2,Minor,Urban,11508.45780566655
528,40,9,Sports,Regular,0,Severe,Suburban,20480.534733987188
211,48,1,Truck,Regular,1,Moderate,Rural,6596.744335510327
236,49,9,Sedan,Regular,0,Minor,Suburban,4063.4126994966455
102,33,0,SUV,Regular,0,Moderate,Suburban,6069.337161715348
987,62,7,SUV,High-end,0,Moderate,Suburban,12407.37310641735
903,40,8,Truck,High-end,0,Minor,Suburban,7753.090610991081
948,29,4,Sedan,Regular,0,Moderate,Urban,7155.7266801553515
347,18,0,Sedan,Regular,0,Moderate,Suburban,5613.456040056552
140,21,7,Sedan,Regular,0,Minor,Suburban,4165.256352076695
622,47,0,Sedan,Regular,0,Moderate,Urban,4597.1338427921455
500,19,6,SUV,Regular,0,Moderate,Rural,5524.530225042244
371,40,4,SUV,High-end,1,Minor,Rural,2804.6575258591856
199,40,5,Truck,Regular,0,Minor,Suburban,5931.103219163002
688,34,5,Sedan,Regular,0,Minor,Suburban,3317.651532648025
585,42,6,Truck,Regular,1,Minor,Urban,2873.651952892643
902,34,3,SUV,High-end,1,Minor,Suburban,4515.855056099948
60,54,3,Sports,High-end,1,Minor,Rural,6211.293017451722
329,49,1,Truck,Regular,1,Minor,Urban,4346.66249015974
97,44,5,SUV,High-end,2,Minor,Suburban,5116.077040940712
313,52,9,Sports,Regular,0,Moderate,Rural,9237.412002820382
975,33,4,SUV,Regular,1,Minor,Urban,3892.386486121546
300,49,5,Sports,High-end,0,Minor,Suburban,4543.427942437669
278,30,6,SUV,Regular,1,Minor,Suburban,4415.886530576658
925,57,11,Sedan,High-end,0,Severe,Suburban,22631.839551316374
602,26,9,Sedan,Regular,0,Severe,Rural,12420.298374508964
440,39,7,Truck,High-end,0,Severe,Urban,32864.428426687584
838,25,5,Truck,Regular,0,Moderate,Rural,7183.524702388588
571,40,7,Sedan,Regular,1,Minor,Suburban,4777.876272259603
880,57,2,Sedan,Regular,0,Moderate,Suburban,3393.1108853739192
262,39,5,SUV,Regular,1,Minor,Urban,4800.544306835011
579,18,2,Truck,High-end,0,Minor,Urban,6316.912134963782
24,18,11,SUV,Regular,0,Minor,Urban,6740.580267978341
31,30,4,SUV,High-end,0,Severe,Suburban,22968.079350488602
618,50,2,Sedan,Regular,0,Moderate,Urban,7756.8337810369885
11,33,8,Sedan,High-end,2,Moderate,Rural,10572.88397185187
222,18,5,Sedan,Regular,0,Severe,Rural,11448.48545419644
